GeoName,DamageName,,,,
 Dnipropetrovs'k,Dnipropetrovska,,,,
 Donets'k,Donetska,,,,
 Ivano-Frankivs'k,Ivano-Frankivska,,,,
 Khmel'nyts'kyy,Khmelnytska,,,,
 Luhans'k,Luhanska,,,,
 L'viv,Lvivska,,,,
 Sevastopol',Sevastopol,,,,
 Ternopil,Ternopilska,,,,
 Cherkasy,Cherkaska,,,,
 Chernihiv,Chernihivska,,,,
 Chernivtsi,Chernivetska,,,,
 Crimea,Autonomous Republic of Crimea,,,,
 Kharkiv,Kharkivska,,,,
 Kherson,Khersonska,,,, 
 Kiev,Kyiv,,,,
 Kiev City,Kyivska,,,,
 Kirovohrad,Kirovohradska,,,,
 Mykolayiv,Mykolaivska,,,,
 Odessa,Odeska,,,,
 Poltava,Poltavska,,,,
 Rivne,Rivnenska,,,,
 Sumy,Sumska,,,,
 Vinnytsya,Vinnytska,,,,
 Volyn,Volynska,,,,
 Zakarpattia,Zakarpatska,,,,
 Zaporizhia,Zaporizka,,,,
 Zhytomyr,Zhytomyrska,,,,
